기업명,제목,주소,링크
컴퓨터수리,[서울ㆍ경기ㆍ인천]데이터복구 및 주변기기 엔지니어 팀원 모집,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37536727?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=53
컴퓨터수리,데이터복구에 관심많은 엔지니어 팀원 급모집[신입 환영],서울 강남구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37536609?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=54
컴퓨터 수리,[월450이상] 데이터복구 및 COMPUTER A/S 에 관심많은 신입 엔지니어 팀원 모집,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37536448?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=55
컴퓨터수리,"[휴대폰,HDD,SSD]데이터 복구분야 신입엔지니어 팀원 모집",경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37534749?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=56
컴퓨터수리,[월400이상/초보가능]데이터복구/컴퓨터수리 등 외근 엔지니어 긴급채용,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37484730?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=57
월곶컴퓨터,2021년도 상반기 컴퓨터 수리 및 데이터복구 출장 엔지니어 추가 모집[경력무관/월300이상],서울 영등포구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37484656?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=58
컴퓨터수리,[자차보유] 데이터복구 출장 엔지니어 모집 신입환영,경기 광명시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37484519?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=59
컴퓨터수리,[자차보유] 데이터복구 외근 신입 엔지니어 모집,경기 고양시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37484489?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=60
㈜노브랜드,(주)노브랜드 인사팀 신입인턴 및 사원급 경력직 채용,경기 구리시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/NB3218
㈜세아네트웍스,각 부문 인턴/신입/경력 채용,경기 남양주시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/seahinfo
플랜트코퍼레이션,25개 직군 대규모 채용,서울 금천구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/plant111
㈜우아한형제들,각 부문별 경력/신입 인재영입,경기 양주시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/woowahan
㈜케이씨씨,KCC 경력/신입 수시채용,서울 영등포구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/kcc1111
한국전력공사,2022년도 1차 6직급 채용,서울 용산구 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/c-041768
씨제이올리브네트웍스㈜,[CJ올리브네트웍스] 시스템개발/AI/마케팅/컨설팅 등 경력사원 상시 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/cjonit
㈜모트렉스,㈜모트렉스 각 부문 신입 및 경력 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/motrex
장인의집,[제주 장인의집] 2022년 상반기 직원 채용,서울 강남구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/dlscjf1020
현대오일뱅크㈜,2022년 상반기 채용연계형 인턴채용,서울 서초구,https://www.jobkorea.co.kr//Recruit/Co_Read/C/c-040726
컴퓨터수리,"[성심컴퓨터] 데이터복구, PC수리, 네트워크 구축 신입엔지니어 모집",경기 군포시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37484484?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=61
컴퓨터수리,"[정규/신규/프리] PC수리, 데이터복구 외근엔지니어 모집",서울 은평구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37484478?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=62
월곶컴퓨터,컴퓨터수리 / 데이터복구 외근 엔지니어 긴급채용 초보자가능[월400이상],서울 마포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37463860?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=63
㈜로이드케이,2022 데이터/보안 엔지니어 입사자 모집,서울 마포구,https://www.jobkorea.co.kr//Recruit/GI_Read/37376407?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=64
버넥트,"개발센터 채용 (Android, iOS, Unity, Web, AI, UX/UI, 백엔드, 서비스 기획, 데이터 / DevOps 엔지니어)",서울 서초구,https://www.jobkorea.co.kr//Recruit/GI_Read/37364444?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=65
디케이테크인,[카카오자회사] 카카오뱅크 데이터센터 엔지니어 채용,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37340461?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=66
이지서티,[1/4분기 정규직 수시채용 신입/경력] IT엔지니어(네트워크/솔루션/데이터) 채용,세종 전지역,https://www.jobkorea.co.kr//Recruit/GI_Read/37330509?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=67
메이븐클라우드서비스㈜,"데이터시각화, RPA 개발자, Azure 엔지니어 (신입/경력)",경기 성남시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37315544?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=68
한국데이터복구센터본점,컴퓨터수리 및 데이터복구 엔지니어 모집합니다.,경기 화성시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37307553?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=69
㈜엠토스솔루션스,[신입/경력] 목동IDC(데이터센터) 서버 엔지니어 채용,서울 마포구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37289420?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=70
